,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
50,10.14245892,0.085737711,0.504138788,0.0357934,1,7,5,0.25,40,0.1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 40, 'colsample_bytree': 0.1}",0.090827151,0.103166345,0.083075015,0.09235617,0.008273202,51
51,12.90885464,0.061408293,0.766861598,0.003890203,1,7,3,0.1,20,0.1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 20, 'colsample_bytree': 0.1}",0.09092171,0.103432769,0.081592573,0.091982351,0.00894771,52
52,9.790605863,0.155840492,0.46260349,0.023667591,1,7,5,0.25,10,1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 10, 'colsample_bytree': 1.0}",0.086806102,0.090472927,0.079803225,0.085694084,0.00442629,53
53,9.741726001,0.085614846,0.433374802,0.015694777,1,7,4,0.2,30,0.3,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 30, 'colsample_bytree': 0.3}",0.083135974,0.087927799,0.069354055,0.080139276,0.007873209,54
54,9.354192019,0.062416126,0.414878925,0.012400259,1,7,3,0.2,30,0.3,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 30, 'colsample_bytree': 0.3}",0.085657674,0.088140326,0.063971392,0.079256464,0.010855597,55
55,12.30592132,0.004487373,0.495080312,0.016823011,1,7,5,0.2,10,0.3,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 10, 'colsample_bytree': 0.3}",0.087218045,0.076801127,0.073741344,0.079253505,0.00576865,56
56,8.91203928,0.174316012,0.47653993,0.018060206,1,7,4,0.25,30,0.3,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 30, 'colsample_bytree': 0.3}",0.082627119,0.082425563,0.067767159,0.077606613,0.006958032,57
57,14.33051872,0.042082153,0.788274686,0.024416222,1,7,3,0.1,10,0.5,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 10, 'colsample_bytree': 0.5}",0.080642518,0.078740157,0.071702454,0.077028376,0.003845242,58
58,13.91612943,0.104099875,0.627096971,0.056314504,1,7,5,0.1,20,1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 20, 'colsample_bytree': 1.0}",0.079452286,0.073632212,0.068033918,0.073706139,0.004661822,59
59,9.384465694,0.15658976,0.415515423,0.048047026,1,7,4,0.2,30,1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 30, 'colsample_bytree': 1.0}",0.078382426,0.07685168,0.065416833,0.073550313,0.005785091,60
60,13.51310635,0.124052506,0.635216951,0.014388403,1,7,4,0.1,10,0.5,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 10, 'colsample_bytree': 0.5}",0.077536478,0.074216956,0.06705653,0.072936655,0.004373153,61
61,8.302165985,0.083614975,0.384552399,0.012447958,1,7,3,0.25,50,0.7,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 3, 'learning_rate': 0.25, 'gamma': 50, 'colsample_bytree': 0.7}",0.080982785,0.073099946,0.059164379,0.07108237,0.009020852,62
62,11.66003799,0.155523552,0.571789662,0.009760205,1,7,4,0.1,30,0.3,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 30, 'colsample_bytree': 0.3}",0.067254385,0.076216968,0.060661207,0.068044187,0.006375122,63
63,9.321593046,0.098036776,0.359667301,0.010058896,1,7,5,0.25,40,0.5,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 40, 'colsample_bytree': 0.5}",0.069708381,0.072346052,0.061762035,0.067938822,0.004498434,64
64,9.224225044,0.116152784,0.401224216,0.001643227,1,7,5,0.2,50,1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 50, 'colsample_bytree': 1.0}",0.069374392,0.075697958,0.056364393,0.067145581,0.008048701,65
65,11.48954471,0.181915484,0.651583513,0.028737714,1,7,5,0.1,40,0.3,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 40, 'colsample_bytree': 0.3}",0.063152114,0.074775201,0.060463691,0.066130336,0.006210592,66
66,9.114745617,0.226396181,0.406306982,0.016761627,1,7,4,0.2,50,0.5,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 50, 'colsample_bytree': 0.5}",0.074787437,0.068795135,0.052119309,0.06523396,0.009590707,67
67,11.03652898,0.069973209,0.405060053,0.016090443,1,7,5,0.15,50,0.7,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.15, 'gamma': 50, 'colsample_bytree': 0.7}",0.067826863,0.0697134,0.055659787,0.064400017,0.00622808,68
